,FIPS,2013 Rural-urban Continuum Code,Population_2010,Civilian_labor_force_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,pc1,pc2,pc3,pca_class
0,1001,2.0,54571,25838,4.9,58233,112.5,0.8527973837553453,-1.0535168425705557,1.64644197349813,2
1,1003,3.0,182265,96763,5.6,59871,115.6,1.2340200359669984,-0.6616887280696547,1.713015082743677,3
2,1005,6.0,27457,8587,7.0,35972,69.5,-1.379272531089217,1.1368938318618165,1.5816258701017747,2
3,1007,1.0,22915,8640,6.6,47918,92.6,0.22366125202734607,-0.01268332653177356,1.1712943379898189,2
4,1009,1.0,57322,24661,4.1,52902,102.2,0.5966183421355856,-0.8317551501687639,1.7336471665681328,2
5,1011,6.0,10914,4818,5.5,31906,61.6,-1.7573791910027146,1.1105975974908406,1.901040241874506,2
6,1013,6.0,20947,9056,8.8,39944,77.2,-1.0423698075514065,1.193839086392055,1.1827554045588582,2
7,1015,3.0,118572,46240,7.1,47747,92.2,0.17184632409485248,0.38032111112186706,1.3327986379347345,2
8,1017,6.0,34215,15865,6.8,42015,81.2,-0.9198612503062962,0.6527556856095067,1.6235407624122442,2
9,1019,6.0,25989,11513,4.6,45982,88.8,-0.7331095906549502,-0.13159810937540647,2.0837909457644086,2
10,1021,1.0,43643,19592,5.0,49692,96.0,0.3604480632141431,-0.42696885927446143,1.5330087533016186,2
11,1023,9.0,13859,4621,6.7,39808,76.9,-1.6033490685192657,0.8291425512617131,1.9128129498528934,2
12,1025,7.0,25833,7769,9.0,43822,84.6,-0.9080300161883608,0.9668432020533745,1.2279878251257819,2
13,1027,9.0,13932,6083,4.0,40562,78.3,-1.6347749414871942,0.21549016096322154,2.495873590424659,2
14,1029,8.0,14972,5737,4.6,51276,99.0,-0.6915132231410812,-0.5173149138817262,2.2528965360454123,2
15,1031,4.0,49948,21502,4.4,57299,110.7,0.44454556257112193,-1.0485686154228362,1.937756601471726,2
16,1033,3.0,54428,23558,6.6,46683,90.2,-0.08089148282842319,0.2155991722410225,1.3902556428406114,2
17,1035,7.0,13228,4529,7.3,41539,80.2,-1.1559599893961126,0.7659651811283533,1.5896717934805513,2
18,1037,8.0,11539,4392,5.5,42024,81.2,-1.334529048246355,0.3773544355387316,2.0713710427379257,2
19,1039,6.0,37765,15172,4.9,44836,86.6,-0.7772649608215177,0.04393588878367067,2.028910927691298,2
20,1041,8.0,13906,6253,5.7,43309,83.7,-1.2263244895973553,0.32644038372297235,2.0285538198308397,2
21,1043,4.0,80406,38310,4.3,50897,98.3,0.07409473196735157,-0.4898304127445971,1.9998492855727152,2
