,FIPS,2013 Rural-urban Continuum Code,Population_2010,Civilian_labor_force_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Cluster,State,Brewery_Count
0,1001,2.0,54571,25838,4.9,58233,112.5,0,AL,0.0
1,1003,3.0,182265,96763,5.6,59871,115.6,0,AL,3.0
4,1009,1.0,57322,24661,4.1,52902,102.2,0,AL,0.0
10,1021,1.0,43643,19592,5.0,49692,96.0,0,AL,0.0
15,1031,4.0,49948,21502,4.4,57299,110.7,0,AL,0.0
25,1051,2.0,79303,36620,4.9,62310,120.4,0,AL,0.0
36,1073,1.0,658466,315957,6.2,54127,104.6,0,AL,13.0
40,1081,3.0,140247,75564,5.2,54160,104.6,0,AL,2.0
41,1083,2.0,82782,44624,4.3,64729,125.0,0,AL,0.0
44,1089,2.0,334811,187247,4.6,68609,132.5,0,AL,12.0
48,1097,2.0,412992,190882,7.9,49492,95.6,0,AL,4.0
50,1101,2.0,229363,107103,7.8,52711,101.8,0,AL,2.0
51,1103,3.0,119490,58899,4.5,54355,105.0,0,AL,0.0
57,1115,1.0,83593,40132,4.9,65403,126.3,0,AL,0.0
58,1117,1.0,195085,114048,3.9,77801,150.3,0,AL,3.0
62,1125,3.0,194656,102222,6.6,52307,101.0,0,AL,2.0
67,2020,2.0,291826,148392,7.4,82512,106.9,0,AK,13.0
69,2060,9.0,997,417,7.4,87950,113.9,0,AK,0.0
71,2090,3.0,97581,44679,6.4,74076,95.9,0,AK,4.0
73,2110,5.0,31275,16374,6.6,85419,110.6,0,AK,5.0
76,2150,7.0,13592,6090,6.2,79669,103.2,0,AK,1.0
77,2170,2.0,88995,47848,8.3,75856,98.3,0,AK,6.0
79,2185,7.0,9430,3200,5.9,84784,109.8,0,AK,0.0
81,2220,7.0,8881,4132,6.9,80660,104.5,0,AK,1.0
94,4019,2.0,980263,495991,7.7,56150,90.5,0,AZ,20.0
95,4021,1.0,375770,191074,7.5,62067,100.1,0,AZ,1.0
102,5007,2.0,221339,140015,4.5,70775,144.4,0,AR,10.0
111,5025,3.0,8689,3203,6.1,53773,109.7,0,AR,0.0
121,5045,2.0,113237,61682,5.4,58482,119.3,0,AR,0.0
125,5053,2.0,17853,8222,5.2,58566,119.5,0,AR,0.0
141,5085,2.0,68356,33550,5.5,62782,128.1,0,AR,0.0
151,5105,2.0,10445,4188,5.5,50560,103.1,0,AR,0.0
158,5119,2.0,382748,188928,7.4,52684,107.5,0,AR,9.0
161,5125,2.0,107118,58181,5.1,66944,136.6,0,AR,1.0
164,5131,2.0,125744,56158,6.0,48945,99.8,0,AR,1.0
170,5143,2.0,203065,126141,4.6,52158,106.4,0,AR,11.0
180,6013,1.0,1049025,541256,8.9,106555,132.5,0,CA,14.0
182,6017,1.0,181058,90752,8.3,86202,107.2,0,CA,13.0
194,6041,1.0,252409,130138,6.7,112069,139.3,0,CA,6.0
200,6053,2.0,415057,213471,10.8,76509,95.1,0,CA,6.0
201,6055,3.0,136484,68867,8.7,90230,112.2,0,CA,8.0
204,6061,1.0,348432,184892,7.3,97688,121.5,0,CA,15.0
207,6067,1.0,1418788,707182,9.3,71891,89.4,0,CA,36.0
208,6069,1.0,55269,31528,9.9,84209,104.7,0,CA,3.0
211,6075,1.0,805235,556056,7.8,121795,151.4,0,CA,34.0
212,6077,2.0,685306,331828,11.3,68458,85.1,0,CA,7.0
213,6079,2.0,269637,132690,7.7,76599,95.2,0,CA,30.0
214,6081,1.0,718451,433876,6.9,135234,168.2,0,CA,11.0
215,6083,2.0,423895,217510,8.0,74530,92.7,0,CA,21.0
217,6087,2.0,262382,133646,9.5,85770,106.6,0,CA,12.0
221,6095,2.0,413344,202812,9.5,85704,106.6,0,CA,7.0
222,6097,2.0,483878,245091,7.9,87084,108.3,0,CA,28.0
229,6111,2.0,823318,408867,8.6,91446,113.7,0,CA,22.0
230,6113,1.0,200849,105026,7.5,70951,88.2,0,CA,11.0
232,8001,1.0,441603,274498,8.0,75341,97.7,0,CO,11.0
234,8005,1.0,572003,366768,7.9,82364,106.8,0,CO,24.0
238,8013,2.0,294567,192879,6.2,88341,114.6,0,CO,44.0
241,8019,1.0,9088,6151,8.5,79900,103.6,0,CO,4.0
247,8031,1.0,600158,423824,8.2,75456,97.9,0,CO,79.0
249,8035,1.0,285465,194649,5.8,123697,160.4,0,CO,16.0
250,8037,5.0,52197,35708,9.5,89268,115.8,0,CO,6.0
251,8039,1.0,23086,14961,4.7,101733,131.9,0,CO,1.0
252,8041,2.0,622263,344120,7.3,72675,94.3,0,CO,33.0
254,8045,5.0,56389,31762,6.8,73788,95.7,0,CO,4.0
255,8047,1.0,5441,4016,11.3,74806,97.0,0,CO,2.0
261,8059,1.0,534543,333682,7.1,89696,116.3,0,CO,39.0
265,8067,4.0,51334,31366,6.8,77829,100.9,0,CO,6.0
266,8069,2.0,299630,203683,6.3,75332,97.7,0,CO,44.0
278,8093,1.0,16206,11114,5.7,77221,100.2,0,CO,2.0
280,8097,7.0,17148,11253,10.5,92820,120.4,0,CO,1.0
285,8107,7.0,23509,16206,7.9,87691,113.7,0,CO,5.0
290,8117,5.0,27994,22402,9.8,86570,112.3,0,CO,9.0
291,8119,2.0,23350,12984,7.5,70599,91.6,0,CO,2.0
293,8123,2.0,252825,166666,7.0,78160,101.4,0,CO,21.0
295,9001,2.0,916829,466208,7.9,96966,122.9,0,CT,15.0
296,9003,1.0,894014,476115,8.1,75336,95.5,0,CT,33.0
297,9005,4.0,189927,102109,6.9,81015,102.7,0,CT,11.0
