,FIPS,2013 Rural-urban Continuum Code,Population_2010,Civilian_labor_force_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Cluster,State,Brewery_Count
889,20031,6.0,8601,3901,5.2,62715,101.1,2,KS,0.0
890,20033,9.0,1891,860,3.5,47854,77.1,2,KS,0.0
891,20035,4.0,36311,16807,6.5,51537,83.1,3,KS,0.0
892,20037,4.0,39134,18947,5.5,42723,68.9,3,KS,2.0
893,20039,9.0,2961,1241,3.7,46878,75.6,2,KS,0.0
894,20041,7.0,19754,8873,4.9,58066,93.6,2,KS,0.0
895,20043,3.0,7945,4153,4.5,52596,84.8,2,KS,0.0
896,20045,3.0,110826,64225,6.1,62559,100.9,0,KS,6.0
897,20047,9.0,3037,1465,3.0,49047,79.1,2,KS,0.0
898,20049,8.0,2882,1171,4.8,41930,67.6,2,KS,0.0
899,20051,5.0,28452,16920,3.5,51237,82.6,2,KS,2.0
900,20053,7.0,6497,2725,3.3,56988,91.9,2,KS,0.0
901,20055,5.0,36776,20618,3.5,57412,92.6,2,KS,1.0
902,20057,5.0,33848,17224,3.4,54604,88.0,2,KS,1.0
903,20059,6.0,25992,14228,5.4,55984,90.3,2,KS,1.0
904,20061,4.0,34362,11652,6.9,58978,95.1,3,KS,0.0
905,20063,9.0,2695,1465,2.9,52986,85.4,2,KS,0.0
906,20065,9.0,2597,1126,4.6,48912,78.9,2,KS,0.0
907,20067,7.0,7829,3097,4.1,65178,105.1,2,KS,0.0
908,20069,9.0,6006,3244,2.2,69077,111.4,2,KS,0.0
909,20071,9.0,1247,825,1.8,58492,94.3,2,KS,0.0
910,20073,6.0,6689,3129,5.2,44876,72.3,2,KS,0.0
911,20075,9.0,2690,1633,1.7,55857,90.1,2,KS,0.0
912,20077,8.0,6034,2792,4.4,47540,76.6,2,KS,0.0
913,20079,2.0,34684,16930,5.3,62961,101.5,0,KS,0.0
914,20081,9.0,4256,2250,2.4,62477,100.7,2,KS,0.0
915,20083,9.0,1916,1008,2.7,58360,94.1,2,KS,0.0
916,20085,3.0,13462,7213,5.4,60615,97.7,0,KS,0.0
917,20087,3.0,19126,10207,4.9,68549,110.5,0,KS,0.0
918,20089,9.0,3077,1249,3.1,46017,74.2,2,KS,0.0
919,20091,1.0,544179,342146,5.1,91913,148.2,0,KS,8.0
920,20093,9.0,3977,2035,2.7,67301,108.5,2,KS,0.0
921,20095,2.0,7858,3343,5.2,56907,91.7,0,KS,0.0
922,20097,9.0,2553,1256,3.3,49588,79.9,2,KS,0.0
923,20099,7.0,21607,9667,5.6,44170,71.2,2,KS,0.0
924,20101,9.0,1750,755,2.9,60315,97.2,2,KS,0.0
925,20103,1.0,76227,36746,5.8,75840,122.3,0,KS,0.0
926,20105,9.0,3241,1705,2.9,47557,76.7,2,KS,1.0
927,20107,1.0,9656,4379,7.0,62876,101.4,0,KS,0.0
928,20109,9.0,2756,1614,2.5,53538,86.3,2,KS,0.0
929,20111,4.0,33690,16598,4.8,49840,80.4,2,KS,1.0
930,20113,7.0,29180,17211,3.5,65834,106.1,2,KS,1.0
931,20115,6.0,12660,5913,4.1,51771,83.5,2,KS,0.0
932,20117,6.0,10117,5504,3.1,55858,90.1,2,KS,0.0
